"","index.lci","X25.","index","X75.","index.uci","node","year","species","nknots"
"popr[32]",78692.6949097394,82821.9150281056,85134.7733844748,87549.2339742757,92396.6897477274,"popr[32]",2015,"ANMU",6
"popr[33]",78636.2384574735,83041.8644340017,85543.37596641,88178.6453401745,93508.5332363529,"popr[33]",2016,"ANMU",6
"popr[34]",77880.5244277278,83040.2497232874,85828.3669088734,88821.04237539,94732.8699972841,"popr[34]",2017,"ANMU",6
"popr[35]",76470.8273417012,82843.201135331,86071.3265022539,89505.6250474389,96136.8136102215,"popr[35]",2018,"ANMU",6
"popr[36]",74623.9899278473,82588.6099059442,86291.4215898677,90221.5958589692,97715.7801933805,"popr[36]",2019,"ANMU",6
"popr[1]1",416207.713475906,475348.533689879,506838.553847142,539697.806781265,606095.13259482,"popr[1]",1984,"CAAU",6
"popr[2]1",452569.665836643,501245.161037269,526365.03526571,552004.106433719,602937.297458341,"popr[2]",1985,"CAAU",6
"popr[3]1",491687.435525017,527920.041051764,546144.295580654,564583.953989642,600187.119096689,"popr[3]",1986,"CAAU",6
"popr[4]1",530477.404167545,554136.094309299,565708.54280257,577093.278323572,598184.093502221,"popr[4]",1987,"CAAU",6
"popr[5]1",566835.568113803,578582.003467032,584152.871989384,589155.973459883,597680.477288882,"popr[5]",1988,"CAAU",6
"popr[6]1",590864.060374797,596376.307304132,599626.195658991,602872.984728704,609252.152294334,"popr[6]",1989,"CAAU",6
"popr[7]1",592174.519042291,604955.528820107,612093.448581418,619262.232605115,633402.109219889,"popr[7]",1990,"CAAU",6
"popr[8]1",588414.457790628,608553.627934325,619569.019114535,630994.037794244,652856.780268758,"popr[8]",1991,"CAAU",6
"popr[9]1",580298.214473632,606890.700014286,621405.961822858,636506.637320472,665136.336074125,"popr[9]",1992,"CAAU",6
"popr[10]1",566985.23736733,599028.376837722,616779.371791568,635115.453919061,671200.187520963,"popr[10]",1993,"CAAU",6
"popr[11]1",548220.037639786,584670.43563955,605394.229275921,627046.446128705,670466.600302066,"popr[11]",1994,"CAAU",6
"popr[12]1",524717.14632486,564958.125311334,588082.722395346,612505.220037591,661390.628383735,"popr[12]",1995,"CAAU",6
"popr[13]1",498556.584030745,541283.145755257,565677.261418757,591996.676973232,645517.603556388,"popr[13]",1996,"CAAU",6
"popr[14]1",471458.225850009,514988.885758428,540047.037807702,567117.880635229,622046.597404453,"popr[14]",1997,"CAAU",6
"popr[15]1",444877.280652981,488165.505463751,512533.775337082,539183.280231743,593385.870524467,"popr[15]",1998,"CAAU",6
"popr[16]1",420177.577406788,462291.081691636,485161.334826893,510648.610609277,562461.94308933,"popr[16]",1999,"CAAU",6
"popr[17]1",399115.249196383,438339.024292741,459873.107871396,483325.24600022,531682.0006163,"popr[17]",2000,"CAAU",6
"popr[18]1",380947.096134998,417514.193071805,437700.290925725,458981.997366445,504124.526047952,"popr[18]",2001,"CAAU",6
"popr[19]1",366514.234193187,400696.844046701,419394.111851496,439233.655202334,480989.099306255,"popr[19]",2002,"CAAU",6
