"","index.lci","X25.","index","X75.","index.uci","node","year","species","nknots"
"pop[26]1",53.6752665253227,56.0736243921346,57.3492663310269,58.6888796701872,61.2989696215538,"pop[26]",2009,"CAAU",6
"pop[27]1",55.2798927518696,57.8175328646684,59.1559847423312,60.6111293241219,63.3925828222132,"pop[27]",2010,"CAAU",6
"pop[28]1",56.7214588629457,59.4824875746938,60.9866847677521,62.541684909784,65.6066066402273,"pop[28]",2011,"CAAU",6
"pop[29]1",58.0023470678157,60.9754136914505,62.6062541358782,64.2833501107159,67.6522930183335,"pop[29]",2012,"CAAU",6
"pop[30]1",59.0810977828019,62.1803745937182,63.9085067977163,65.6650779436811,69.2190321663602,"pop[30]",2013,"CAAU",6
"pop[31]1",59.8743807800835,63.0245562527182,64.7652321569886,66.5630774866662,70.1211555298138,"pop[31]",2014,"CAAU",6
"pop[32]1",60.2184783615641,63.4375409158096,65.1883455678595,66.9946896660673,70.6385554632198,"pop[32]",2015,"CAAU",6
"pop[33]1",60.0284241750992,63.3508807871969,65.1795402896139,67.0629688141406,71.0217809855381,"pop[33]",2016,"CAAU",6
"pop[34]1",59.1408131188754,62.7776336571559,64.8657576552823,67.0047679575062,71.5642820928983,"pop[34]",2017,"CAAU",6
"pop[35]1",57.5612819224672,61.8831424694631,64.357775908802,66.9460032548978,72.4468359024434,"pop[35]",2018,"CAAU",6
"pop[36]1",55.6323509734234,60.8384260610223,63.794198103762,66.933451637242,73.7062840978711,"pop[36]",2019,"CAAU",6
"pop[1]2",48.8518234630482,52.1943858839946,54.048189533116,55.8970819607091,59.7047799934551,"pop[1]",1984,"RHAU",6
"pop[2]2",49.2488156249974,52.3570768466682,54.0118185904394,55.74041877987,59.1891391566893,"pop[2]",1985,"RHAU",6
"pop[3]2",49.4591622672228,52.4127872790862,53.9997329358662,55.6327458587734,58.8900391991161,"pop[3]",1986,"RHAU",6
"pop[4]2",49.4735498093954,52.3958876095215,53.9733324506635,55.5684490658814,58.8044188070645,"pop[4]",1987,"RHAU",6
"pop[5]2",49.3294825105055,52.2756894614613,53.8966538986244,55.5118496145792,58.8593192290801,"pop[5]",1988,"RHAU",6
"pop[6]2",49.0555420282018,52.0924754405272,53.7621493214332,55.4341073065627,58.9572778592772,"pop[6]",1989,"RHAU",6
"pop[7]2",48.7240842624404,51.871646511124,53.5858395292887,55.3125746014353,59.0349624271192,"pop[7]",1990,"RHAU",6
"pop[8]2",48.317939734565,51.6066834508077,53.3804852789408,55.1379759139558,58.926386105292,"pop[8]",1991,"RHAU",6
"pop[9]2",47.9102276388996,51.340233654569,53.1389033323718,54.9755307976285,58.8644641980448,"pop[9]",1992,"RHAU",6
"pop[10]2",47.4397558086283,51.0425714520145,52.9091171698337,54.7875617151456,58.8266363594946,"pop[10]",1993,"RHAU",6
"pop[11]2",46.9215969272639,50.7935617021371,52.691057382228,54.6094774910438,58.7635969000549,"pop[11]",1994,"RHAU",6
"pop[12]2",46.453110496494,50.5344556447993,52.50401580563,54.4818384172502,58.8538991805201,"pop[12]",1995,"RHAU",6
"pop[13]2",46.1070799102491,50.3352013654902,52.3574616404081,54.403514774762,58.870954976917,"pop[13]",1996,"RHAU",6
"pop[14]2",45.8676931192931,50.2287639056983,52.276582469585,54.3450748704177,58.8216167485554,"pop[14]",1997,"RHAU",6
"pop[15]2",45.8559290000325,50.1971965232228,52.2769203715448,54.3221758893568,58.7472128590722,"pop[15]",1998,"RHAU",6
"pop[16]2",46.010051838627,50.2856672717976,52.3479563594455,54.3334033175845,58.5461416689781,"pop[16]",1999,"RHAU",6
"pop[17]2",46.4076955925257,50.4753607061643,52.4708672396822,54.3820492750592,58.4016766231875,"pop[17]",2000,"RHAU",6
"pop[18]2",46.9120464443327,50.7738512200756,52.6793594996447,54.5070899279736,58.2663397885617,"pop[18]",2001,"RHAU",6
"pop[19]2",47.5384639420602,51.1300651935033,52.9454027066481,54.6803498170397,58.223216520088,"pop[19]",2002,"RHAU",6
"pop[20]2",48.1974989965614,51.5648387127539,53.2733587607578,54.9275697674607,58.3306081033324,"pop[20]",2003,"RHAU",6
"pop[21]2",48.8605196925632,52.0195576101511,53.6481473436977,55.2455869037204,58.5376999722157,"pop[21]",2004,"RHAU",6
"pop[22]2",49.529116747191,52.4862546875334,54.0714091804658,55.6067230828492,58.8357862494932,"pop[22]",2005,"RHAU",6
